time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
999;0;1;3400;-83;83;1146.356445;0.53;11;0.13;303;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1998;0;1;3400;-83;83;1346.594604;0.97;15;0.44;328;0;0.0;0.0;0.0;112;73;0.0;1.0;2.0;0.0
2997;0;1;3400;-83;83;1346.609253;0.94;16;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3996;0;1;3400;-83;83;1351.320923;0.94;15;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4995;0;1;3400;-83;83;1356.240601;0.94;15;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5994;0;1;3400;-83;83;1355.765869;1.3;15;0.48;472;0;0.52;0.0;0.0;168;67;0.0;0.0;0.0;0.0
6993;0;1;3400;-83;83;1360.915161;0.94;16;0.47;0.0;0.0;0.0;0.0;0.0;56;69;0.0;1.0;0.0;0.0
7992;0;1;3400;-83;83;1364.268921;0.94;15;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8991;0;1;3400;-83;83;1364.506836;0.94;15;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9990;0;1;3400;-83;83;1357.833862;1.3;16;0.47;472;0;0.52;0.0;0.0;112;67;0.0;0.0;0.0;0.0
10989;0;1;3400;-83;83;1366.032471;1.0;15;0.50;0.0;0.0;0.0;0.0;0.0;56;74;0.0;0.0;0.0;0.0
11988;0;1;3400;-83;83;1369.083496;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12987;0;1;3400;-83;83;1370.602905;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13986;0;1;3400;-83;83;1373.998901;1.2;16;0.50;472;0;0.52;0.0;0.0;0.0;50;0.0;0.0;0.0;0.0
14985;0;1;3400;-83;83;1371.955444;1.5;16;0.50;0.0;0.0;0.52;0.0;0.0;112;75;0.0;0.0;0.0;0.0
15984;0;1;3400;-83;83;1374.571899;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16983;0;1;3400;-83;83;1378.734985;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17982;0;1;3400;-83;83;1381.618530;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18979;0;1;3400;-83;83;1386.776367;1.3;16;0.50;468;0;1.6;0.0;0.0;0.0;80;0.0;1.0;0.0;0.0
19978;0;1;3400;-83;83;1380.974487;1.1;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20977;0;1;3400;-83;83;1383.148682;1.1;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21976;0;1;3400;-83;83;1386.653320;1.1;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22975;0;1;3400;-83;83;1388.119141;1.5;15;0.50;472;0;1.6;0.0;0.0;56;74;0.0;0.0;0.0;0.0
23974;0;1;3400;-83;83;1387.208496;1.1;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;82;0.0;0.0;0.0;0.0
24973;0;1;3400;-83;83;1384.572144;1.1;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25972;0;1;3400;-83;83;1390.371704;1.1;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26971;0;1;3400;-83;83;1387.203979;1.2;13;0.50;472;0;0.52;0.0;0.0;0.0;67;0.0;0.0;0.0;0.0
27970;0;1;3400;-83;83;1392.210083;1.1;14;0.50;0.0;0.0;0.52;0.0;0.0;168;70;0.0;0.0;1.0;0.0
28969;0;1;3400;-83;83;1393.706177;1.1;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29968;0;1;3400;-83;83;1398.328247;1.1;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30967;0;1;3400;-83;83;1398.430908;1.1;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31967;0;1;3400;-83;83;1401.252075;1.1;15;0.50;470;0;0.52;0.0;0.0;0.0;80;0.0;1.0;0.0;0.0
32966;0;1;3400;-83;83;1400.995239;1.0;16;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33965;0;1;3400;-83;83;1401.942261;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34964;0;1;3400;-83;83;1402.186157;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35963;0;1;3400;-83;83;1405.973755;1.8;15;0.50;472;0;1.6;0.0;0.0;112;68;0.0;0.0;0.0;0.0
36962;0;1;3400;-83;83;1408.569336;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;112;64;0.0;0.0;0.0;0.0
37961;0;1;3400;-83;83;1408.824707;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38960;0;1;3400;-83;83;1409.822021;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39959;0;1;3400;-83;83;1407.891113;1.2;15;0.50;472;0;0.52;0.0;0.0;56;33;0.0;0.0;0.0;0.0
40958;0;1;3400;-83;83;1411.060547;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;56;76;0.0;1.0;0.0;0.0
41957;0;1;3400;-83;83;1411.757202;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42956;0;1;3400;-83;83;1409.579590;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43955;0;1;3400;-83;83;1413.668335;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44954;0;1;3400;-83;83;1438.983154;1.2;15;0.50;472;0;0.52;0.0;0.0;56;78;0.0;0.0;0.0;0.0
45953;0;1;3400;-83;83;1415.513672;1.0;16;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46952;0;1;3400;-83;83;1414.122803;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47951;0;1;3400;-83;83;1414.420532;1.0;14;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48950;0;1;3400;-83;83;1419.390747;1.6;15;0.50;472;0;1.6;0.0;0.0;112;69;0.0;1.0;9.0;0.0
49948;0;1;3400;-83;83;1415.678345;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;86;0.0;0.0;0.0;0.0
50947;0;1;3400;-83;83;1416.315552;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51946;0;1;3400;-83;83;1418.512085;1.0;12;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52945;0;1;3400;-83;83;1399.876953;1.3;14;0.50;472;0;0.52;0.0;0.0;0.0;79;0.0;0.0;0.0;0.0
53944;0;1;3400;-83;83;1419.057007;1.0;14;0.50;0.0;0.0;0.52;0.0;0.0;56;75;0.0;0.0;2.0;0.0
54942;0;1;3400;-83;83;1423.564209;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55941;0;1;3400;-83;83;1421.696533;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56940;0;1;3400;-83;83;1420.091187;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57939;0;1;3400;-83;83;1426.072876;1.3;16;0.50;472;0;0.52;0.0;0.0;112;73;0.0;0.0;0.0;0.0
58938;0;1;3400;-83;83;1422.936890;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59937;0;1;3400;-83;83;1420.531128;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60936;0;1;3400;-83;83;1422.066650;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61935;0;1;3400;-83;83;1421.746948;1.4;16;0.50;472;0;0.52;0.0;0.0;112;72;0.0;0.0;0.0;0.0
62934;0;1;3400;-83;83;1423.446411;1.0;16;0.50;0.0;0.0;0.0;0.0;0.0;0.0;80;0.0;0.0;0.0;0.0
63933;0;1;3400;-83;83;1424.764648;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64932;0;1;3400;-83;83;1426.385132;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65931;0;1;3400;-83;83;1424.966187;1.3;14;0.50;472;0;0.52;0.0;0.0;56;69;0.0;0.0;0.0;0.0
66930;0;1;3400;-83;83;1424.942871;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;112;71;0.0;0.0;0.0;0.0
67929;0;1;3400;-83;83;1423.806885;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68928;0;1;3400;-83;83;1428.031738;1.0;16;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69928;0;1;3400;-83;83;1426.371704;1.1;16;0.50;472;0;1.6;0.0;0.0;0.0;50;0.0;0.0;0.0;0.0
70926;0;1;3400;-83;83;1427.523560;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;112;75;0.0;0.0;0.0;0.0
71925;0;1;3400;-83;83;1430.025391;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72924;0;1;3400;-83;83;1433.130005;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73923;0;1;3400;-83;83;1430.623657;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74922;0;1;3400;-83;83;1427.781982;1.3;15;0.50;468;0;0.52;0.0;0.0;167;70;0.0;0.0;0.0;0.0
75921;0;1;3400;-83;83;1434.852051;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76920;0;1;3400;-83;83;1435.897949;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0
77919;0;1;3400;-83;83;1436.210571;1.0;15;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78918;0;1;3400;-83;83;1437.894287;1.2;15;0.50;472;0;0.52;0.0;0.0;168;68;0.0;0.0;0.0;0.0
79917;0;1;3400;-83;83;1435.024170;1.0;15;0.50;0.0;0.0;0.0;0.0;0.0;0.0;80;0.0;0.0;0.0;0.0
80916;0;1;3400;-83;83;1438.652100;1.0;15;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81915;0;1;3400;-83;83;1439.633423;1.0;14;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82914;0;1;3400;-83;83;1436.304443;1.2;14;0.50;472;0;1.6;0.0;0.0;112;55;0.0;0.0;0.0;0.0
83913;0;1;3400;-83;83;1440.293091;1.0;15;0.79;0.0;0.0;1.6;0.0;0.0;56;75;0.0;0.0;0.0;0.0
84912;0;1;3400;-83;83;1441.024414;1.0;14;0.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85911;0;1;3400;-83;83;1441.320801;1.0;14;0.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86910;0;1;3400;-83;83;1438.882202;1.0;16;0.95;144;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87909;0;1;3400;-83;83;1441.996948;1.1;15;0.56;328;0;0.0;0.0;0.0;224;65;0.0;0.0;1.0;0.0
88908;0;1;3400;-83;83;1440.159668;1.0;16;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
