time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
18;0;0;4294967295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
979;0;1;3400;-94;94;2655.854004;0.99;6.5;0.28;1129.186646;0;0.0;0.0;0.0;0.0;80;0.0;0.0;2.0;0.0
1978;0;1;3400;-94;94;2641.031494;1.1;6.6;0.50;0.0;0.0;0.0;0.0;0.0;0.0;80;0.0;0.0;0.0;0.0
2974;0;1;3400;-95;95;2649.226318;1.1;9.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3973;0;1;3400;-95;95;2660.757080;1.1;8.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4972;0;1;3400;-94;94;2654.990234;1.1;7.5;0.50;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5971;0;1;3400;-94;94;2668.043213;1.6;7.6;0.50;328;0;0.52;0.0;0.0;112;74;0.0;1.0;0.0;0.0
6970;0;1;3400;-94;94;2669.081055;1.1;6.9;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7969;0;1;3400;-94;94;2667.628906;1.1;6.5;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8968;0;1;3400;-95;95;2665.394775;1.1;9.0;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9967;0;1;3400;-95;95;2663.207520;1.2;8.1;0.48;472;0;1.6;0.0;0.0;112;71;0.0;2.0;0.0;0.0
10966;0;1;3400;-95;95;2668.317383;1.1;8.5;0.50;0.0;0.0;1.6;0.0;0.0;0.0;100.000000;0.0;0.0;0.0;0.0
11965;0;1;3400;-94;94;2667.292725;1.1;6.3;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12964;0;1;3400;-94;94;2671.265381;1.1;6.4;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13963;0;1;3400;-94;94;2673.691406;1.5;7.4;0.48;472;0;1.6;0.0;0.0;0.0;72;0.0;0.0;2.0;0.0
14962;0;1;3400;-94;94;2671.967041;1.1;5.8;0.51;0.0;0.0;1.6;0.0;0.0;112;70;0.0;3.0;1.0;0.0
15961;0;1;3400;-94;94;2676.212891;1.1;6.2;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16960;0;1;3400;-94;94;2674.168945;1.1;6.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17959;0;1;3400;-94;94;2680.106689;1.1;8.1;0.50;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18958;0;1;3400;-94;94;2677.582275;1.4;7.5;0.59;328;0;0.52;0.0;0.0;224;67;0.0;1.0;0.0;0.0
19958;0;1;3400;-94;94;2675.955566;1.0;7.2;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20956;0;1;3400;-94;94;2672.954590;1.0;6.6;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21955;0;1;3400;-94;94;2680.381836;1.0;6.9;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22955;0;1;3400;-95;95;2708.067627;1.1;8.1;0.48;472;0;1.6;0.0;0.0;112;73;0.0;0.0;0.0;0.0
23954;0;1;3400;-94;94;2679.469971;1.0;7.6;0.50;0.0;0.0;1.6;0.0;0.0;0.0;100.000000;0.0;0.0;0.0;0.0
24953;0;1;3400;-94;94;2680.183838;1.0;7.3;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25952;0;1;3400;-94;94;2681.400391;1.0;7.4;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26951;0;1;3400;-94;94;2696.698975;1.2;6.9;0.58;472;0;1.6;0.0;0.0;56;68;0.0;0.0;0.0;0.0
27950;0;1;3400;-94;94;2683.218506;1.0;7.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;83;0.0;0.0;0.0;0.0
28949;0;1;3400;-94;94;2684.322266;1.0;7.8;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29948;0;1;3400;-94;94;2682.811035;1.0;7.9;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30947;0;1;3400;-94;94;2686.664307;1.1;7.0;0.53;144;0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31946;0;1;3400;-94;94;2685.186035;1.1;7.7;0.51;328;0;1.6;0.0;0.0;56;77;0.0;3.0;0.0;0.0
32945;0;1;3400;-94;94;2686.146240;1.0;7.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33944;0;1;3400;-94;94;2690.376953;1.0;7.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34943;0;1;3400;-94;94;2690.911133;1.0;7.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35942;0;1;3400;-95;95;2691.350830;1.3;8.1;0.49;472;0;0.52;0.0;0.0;112;73;0.0;0.0;0.0;0.0
36941;0;1;3400;-94;94;2692.348877;1.0;7.3;0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37940;0;1;3400;-94;94;2695.795898;1.0;6.7;0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38939;0;1;3400;-94;94;2698.034912;1.0;7.6;0.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39938;0;1;3400;-94;94;2700.184082;1.1;6.1;0.36;472;33;0.0;0.0;0.0;56;75;0.0;1.0;2.0;0.0
40936;0;1;3400;-94;94;2694.182129;1.0;5.9;0.50;0.0;0.0;0.52;0.0;0.0;56;62;0.0;2.0;4.0;0.0
41935;0;1;3400;-94;94;2696.773682;1.0;6.0;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42934;0;1;3400;-94;94;2693.811279;1.0;5.3;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43933;0;1;3400;-94;94;2692.857910;1.1;5.7;0.50;144;0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44932;0;1;3400;-95;95;2702.753662;1.1;8.4;0.50;328;0;1.6;0.0;0.0;0.0;80;0.0;1.0;2.0;0.0
45931;0;1;3400;-94;94;2702.339844;1.0;6.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46930;0;1;3400;-94;94;2698.182129;1.0;6.4;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47929;0;1;3400;-94;94;2699.915771;1.0;7.1;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48928;0;1;3400;-94;94;2715.609375;1.1;6.7;0.55;472;0;0.52;0.0;0.0;168;70;0.0;1.0;1.0;0.0
49927;0;1;3400;-94;94;2701.877197;1.0;5.8;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50926;0;1;3400;-94;94;2702.619629;1.0;5.9;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51925;0;1;3400;-94;94;2701.717041;1.0;6.8;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
