time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
1000;0;1;3400;-90;90;1322.776001;2.6;9.3;0.36;1126.491699;0;0.0;0.0;0.0;134;72;0.0;0.0;0.0;0.0
1988;0;1;3400;-88;88;1305.649780;1.0;12;0.50;0.0;0.0;0.52;0.0;0.0;56;75;0.0;0.0;0.0;0.0
2987;0;1;3400;-82;82;1302.289551;1.0;17;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3986;0;1;3400;-84;84;1300.420044;1.0;16;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4985;0;1;3400;-87;87;1292.944580;1.0;15;0.50;144;0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5984;0;1;3400;-84;84;1292.642090;1.7;15;0.50;328;0;0.52;0.0;0.0;112;74;0.0;0.0;0.0;0.0
6983;0;1;3400;-82;82;1288.942017;1.0;17;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7982;0;1;3400;-93;93;1286.773804;1.0;6.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8981;0;1;3400;-93;93;1266.998657;1.0;6.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9980;0;1;3400;-94;94;1310.292114;1.9;5.4;1.2;617;40;0.52;0.0;0.0;56;62;0.0;0.0;0.0;0.0
10979;0;1;3400;-96;96;1285.974487;1.0;3.8;1.8;0.0;0.0;0.0;0.0;0.0;56;69;0.0;0.0;0.0;0.0
11978;0;1;3400;-97;97;1264.614136;1.0;3.6;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12977;0;1;3400;-97;97;1275.657227;1.0;3.5;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13976;0;1;3400;-99;99;1280.215942;1.0;3.6;2.2;144;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
14975;0;1;3400;-98;98;1195.741577;1.1;2.3;3.3;328;0;0.0;0.0;0.0;56;69;0.0;0.0;0.0;0.0
15974;0;1;3400;-95;95;1406.941162;1.0;1.2;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16973;0;1;3400;-96;96;1269.842285;1.0;1.6;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17972;0;1;3400;-96;96;1216.557373;1.0;1.4;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18971;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19970;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20969;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21968;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22967;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23966;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24965;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25964;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26963;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27962;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28961;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29957;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30956;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31955;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32954;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33953;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34952;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35951;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36950;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37949;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38948;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39947;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40946;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41945;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42944;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43943;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44942;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45941;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46940;0;1;3400;-96;96;1424.944702;1.0;1.1;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47939;0;1;3400;-96;96;1277.597778;1.0;2.9;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
